term,status,targets,candidateTargets,sources,note
Gravure Idol,approved,genre:gravure_idol,,localogue-community-data,Community genre_000076 (role) 精确名称。
Groping Production,approved,genre:groping_production,,localogue-community-data,Community genre_000267 (practice) 精确名称。
Groping Theme,approved,genre:groping_theme,,localogue-community-data,Community genre_000053 (theme) 精确名称。
Group Sex,approved,genre:group_sex,,localogue-community-data,Community genre_000229 (act) 精确名称。
Gyaru,approved,genre:gyaru,,localogue-community-data,Community genre_000113 (role) 精确名称。
Gym Clothes,approved,genre:gym_clothes,,localogue-community-data,Community genre_000136 (wardrobe) 精确名称。
Hairdresser,approved,genre:hairdresser,,localogue-community-data,Community genre_000095 (role) 精确名称。
Hairless,approved,genre:hairless,,localogue-community-data,Community genre_000199 (body) 精确名称。
Hairy,approved,genre:hairy,,localogue-community-data,Community genre_000200 (body) 精确名称。
Handjob,approved,genre:handjob,,localogue-community-data,Community genre_000208 (act) 精确名称。
Hat,approved,genre:hat,,localogue-community-data,Community genre_000173 (wardrobe) 精确名称。
HD,approved,sourceOnly:media_hd,,localogue-community-data|localogue-vocabulary,Community genre_000319 (media) 精确名称。
HD DVD,approved,sourceOnly:media_hd_dvd,,localogue-community-data|localogue-vocabulary,Community genre_000310 (media) 精确名称。
Heavy Squirting,approved,genre:heavy_squirting,,localogue-community-data,Community genre_000226 (act) 精确名称。
Heiress,approved,genre:heiress,,localogue-community-data,Community genre_000111 (role) 精确名称。
Hi-Def,approved,sourceOnly:media_hd,,localogue-vocabulary,
Hidden-camera Style,approved,genre:hidden_camera_style,,localogue-community-data,Community genre_000264 (practice) 精确名称。
Hidden Camera Theme,approved,genre:hidden_camera,,localogue-community-data,Community genre_000054 (theme) 精确名称。
High Definition,approved,sourceOnly:media_hd,,localogue-vocabulary,
High Heels,approved,genre:high_heels,,localogue-community-data,Community genre_000171 (wardrobe) 精确名称。
Horror,approved,genre:horror,,localogue-community-data,Community genre_000020 (theme) 精确名称。
Hospital Setting,approved,genre:hospital_setting,,localogue-community-data,Community genre_000031 (theme) 精确名称。
Hostess,approved,genre:hostess,,localogue-community-data,Community genre_000098 (role) 精确名称。
Hot Spring,approved,genre:hot_spring,,localogue-community-data,Community genre_000026 (theme) 精确名称。
Hot Spring Play,approved,genre:hot_spring_play,,localogue-community-data,Community genre_000255 (practice) 精确名称。
How To,approved,workType:instructional,,localogue-community-data|metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,Community genre_000290 (production) 精确名称。
Humiliation,approved,genre:humiliation,,localogue-community-data,Community genre_000057 (theme) 精确名称。
Humiliation Play,approved,genre:humiliation_play,,localogue-community-data,Community genre_000249 (practice) 精确名称。
Hypnosis,approved,genre:hypnosis,,localogue-community-data,Community genre_000037 (theme) 精确名称。
Hypnosis Play,approved,genre:hypnosis_play,,localogue-community-data,Community genre_000263 (practice) 精确名称。
Idol,approved,genre:idol,,localogue-community-data,Community genre_000071 (role) 精确名称。
Image Video,approved,workType:image_video,,localogue-community-data,Community genre_000275 (production) 精确名称。
Imported Work,approved,workType:imported_work,,localogue-community-data,Community genre_000294 (production) 精确名称。
Incest Theme,approved,genre:incest_theme,,localogue-community-data,Community genre_000045 (theme) 精确名称。
Independent Production,approved,workType:independent_production,,localogue-community-data,Community genre_000292 (production) 精确名称。
Infidelity,approved,genre:infidelity,,localogue-community-data,Community genre_000046 (theme) 精确名称。
Inn Proprietress,approved,genre:inn_proprietress,,localogue-community-data,Community genre_000097 (role) 精确名称。
Innocent Type,approved,genre:innocent_type,,localogue-community-data,Community genre_000114 (role) 精确名称。
Instructional,approved,workType:instructional,,localogue-community-data,Community genre_000290 (production) 精确名称。
Instructor,approved,genre:instructor,,localogue-community-data,Community genre_000083 (role) 精确名称。
Intercrural Sex,approved,genre:intercrural_sex,,localogue-community-data,Community genre_000211 (act) 精确名称。
Interview,approved,workType:interview,,localogue-community-data,Community genre_000289 (production) 精确名称。
Invisible Person,approved,genre:invisible_person,,localogue-community-data,Community genre_000035 (theme) 精确名称。
Kimono,approved,genre:kimono,,localogue-community-data,Community genre_000153 (wardrobe) 精确名称。
Kinbaku,approved,genre:kinbaku,,localogue-community-data,Community genre_000244 (practice) 精确名称。
Kissing,approved,genre:kissing,,localogue-community-data,Community genre_000203 (act) 精确名称。
Korea,approved,sourceOnly:region_korea,,localogue-vocabulary,
Kunoichi,approved,genre:kunoichi,,localogue-community-data,Community genre_000120 (role) 精确名称。
Leg Fetish,approved,genre:leg_fetish,,localogue-community-data,Community genre_000060 (theme) 精确名称。
Leotard,approved,genre:leotard,,localogue-community-data,Community genre_000176 (wardrobe) 精确名称。
Lesbian,approved,genre:lesbian,,localogue-community-data,Community genre_000268 (practice) 精确名称。
Light Mosaic,approved,workType:light_mosaic,,localogue-community-data,Community genre_000300 (production) 精确名称。
Lingerie,approved,genre:lingerie,,localogue-community-data,Community genre_000142 (wardrobe) 精确名称。
Loli-style,approved,sourceOnly:age_coded_loli_style,,localogue-vocabulary,
Loose Socks,approved,genre:loose_socks,,localogue-community-data,Community genre_000169 (wardrobe) 精确名称。
Lotion Play,approved,genre:lotion_play,,localogue-community-data,Community genre_000234 (act) 精确名称。
Maid,approved,genre:maid,,localogue-community-data,Community genre_000099 (role) 精确名称。
Maid Outfit,approved,genre:maid_outfit,,localogue-community-data,Community genre_000149 (wardrobe) 精确名称。
Male Performer,approved,genre:male_performer,,localogue-community-data,Community genre_000127 (role) 精确名称。
Male Squirting,approved,genre:male_squirting,,localogue-community-data,Community genre_000242 (act) 精确名称。
Married Woman,approved,genre:married_woman,,localogue-community-data,Community genre_000002 (theme) 精确名称。
Married Woman Role,approved,genre:married_woman,,localogue-community-data,Community genre_000117 (role) 精确名称。
Martial Artist,approved,genre:martial_artist,,localogue-community-data,Community genre_000121 (role) 精确名称。
Mask,approved,genre:mask,,localogue-community-data,Community genre_000174 (wardrobe) 精确名称。
Massage,approved,genre:massage,,localogue-community-data,Community genre_000235 (act) 精确名称。
Masturbation,approved,genre:masturbation,,localogue-community-data,Community genre_000232 (act) 精确名称。
Mature,approved,genre:mature,,legacy-localogue,V1-24 以前的 Localogue Canonical 显示词，保留为稳定别名。
Mature Figure,approved,genre:mature_figure,,localogue-community-data,Community genre_000202 (body) 精确名称。
Mature Woman,approved,genre:mature,,localogue-community-data,Community genre_000003 (theme) 精确名称。 Community/扩展词表名称；Localogue 保留既有 Canonical 显示词。
Mature Woman Role,approved,genre:mature,,localogue-community-data,Community genre_000116 (role) 精确名称。
Media Section,approved,sourceOnly:taxonomy_section_media,,localogue-vocabulary,
MGS Exclusive Bonus Video,approved,sourceOnly:provider_mgs_bonus,,localogue-vocabulary,
MGSだけのおまけ映像付き,approved,sourceOnly:provider_mgs_bonus,,localogue-vocabulary|metatube-356-20240608|metatube-reference,
Micro Miniskirt,approved,genre:micro_miniskirt,,localogue-community-data,Community genre_000164 (wardrobe) 精确名称。
microSD,approved,sourceOnly:media_microsd,,localogue-community-data|localogue-vocabulary|metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,Community genre_000313 (media) 精确名称。
MicroSD卡,approved,sourceOnly:media_microsd,,localogue-community-data|localogue-vocabulary,Community genre_000313 (media) 精确名称。
Mind Control,approved,genre:mind_control,,localogue-community-data,Community genre_000038 (theme) 精确名称。
Miniskirt,approved,genre:miniskirt,,localogue-community-data,Community genre_000163 (wardrobe) 精确名称。
Missionary,approved,genre:missionary,,localogue-community-data,Community genre_000213 (act) 精确名称。
Mixed-gender,approved,genre:mixed_gender,,localogue-community-data,Community genre_000271 (practice) 精确名称。
Model,approved,genre:model,,localogue-community-data,Community genre_000075 (role) 精确名称。
Mother,approved,genre:mother,,localogue-community-data,Community genre_000105 (role) 精确名称。
Mourning Dress,approved,genre:mourning_dress,,localogue-community-data,Community genre_000155 (wardrobe) 精确名称。
Multilingual Subtitles,approved,workType:multilingual_subtitles,,localogue-community-data,Community genre_000302 (production) 精确名称。
Muscular,approved,genre:muscular,,localogue-community-data,Community genre_000194 (body) 精确名称。
Mutual Masturbation,approved,genre:mutual_masturbation,,localogue-community-data,Community genre_000233 (act) 精确名称。
Negligee,approved,genre:negligee,,localogue-community-data,Community genre_000146 (wardrobe) 精确名称。
Netorare,approved,genre:netorare,,localogue-community-data,Community genre_000047 (theme) 精确名称。
Netori,approved,genre:netori,,localogue-community-data,Community genre_000048 (theme) 精确名称。
Nipple Stimulation,approved,genre:nipple_stimulation,,localogue-community-data,Community genre_000237 (act) 精确名称。
Normal,approved,sourceOnly:generic_normal,,localogue-vocabulary,
Nude Apron,approved,genre:nude_apron,,localogue-community-data,Community genre_000147 (wardrobe) 精确名称。
Nun,approved,genre:nun,,localogue-community-data,Community genre_000101 (role) 精确名称。
Nurse,approved,genre:nurse,,localogue-community-data,Community genre_000089 (role) 精确名称。
Nurse Outfit,approved,genre:nurse_outfit,,localogue-community-data,Community genre_000150 (wardrobe) 精确名称。
Object Insertion,approved,genre:object_insertion,,localogue-community-data,Community genre_000260 (practice) 精确名称。
Office Lady,approved,genre:office_lady,,localogue-community-data,Community genre_000084 (role) 精确名称。
Office Wear,approved,genre:office_wear,,localogue-community-data,Community genre_000151 (wardrobe) 精确名称。
Oil Play,approved,genre:oil_play,,localogue-community-data,Community genre_000236 (act) 精确名称。
OL,approved,genre:office_lady,,localogue-community-data,Community genre_000084 (role) 精确名称。
OL / 职场女性,approved,genre:office_lady,,legacy-localogue,V1-24 以前的 Localogue Canonical 显示词，保留为稳定别名。
Older Man,approved,genre:older_man,,localogue-community-data,Community genre_000128 (role) 精确名称。
Older Sister,approved,genre:older_sister,,localogue-community-data,Community genre_000107 (role) 精确名称。
OL服,approved,genre:office_wear,,localogue-community-data,Community genre_000151 (wardrobe) 精确名称。
OL装,approved,genre:office_wear,,localogue-community-data,Community genre_000151 (wardrobe) 精确名称。
Omnibus,approved,workType:omnibus,,localogue-community-data,Community genre_000281 (production) 精确名称。
Oral Ejaculation,approved,genre:oral_ejaculation,,localogue-community-data,Community genre_000220 (act) 精确名称。
Orgy,approved,genre:orgy,,localogue-community-data,Community genre_000231 (act) 精确名称。
Original Work,approved,workType:original_work,,localogue-community-data,Community genre_000277 (production) 精确名称。
Outdoor,approved,genre:outdoor,,localogue-community-data,Community genre_000251 (practice) 精确名称。
Over Four Hours,approved,workType:over_four_hours,,localogue-community-data,Community genre_000304 (production) 精确名称。
Overseas Production,approved,workType:overseas_production,,localogue-community-data,Community genre_000293 (production) 精确名称。
Paizuri,approved,genre:titjob,,localogue-community-data,Community genre_000210 (act) 精确名称。 Community/扩展词表名称；Localogue 保留既有 Canonical 显示词。
Panties,approved,genre:panties,,localogue-community-data,Community genre_000144 (wardrobe) 精确名称。
Pantyhose,approved,genre:pantyhose,,localogue-community-data,Community genre_000167 (wardrobe) 精确名称。
Parody,approved,genre:parody,,localogue-community-data,Community genre_000023 (theme) 精确名称。
Partially Nude,approved,genre:partially_nude,,localogue-community-data,Community genre_000180 (wardrobe) 精确名称。
Pencil Skirt,approved,genre:pencil_skirt,,localogue-community-data,Community genre_000165 (wardrobe) 精确名称。
Period Drama,approved,genre:period_drama,,localogue-community-data,Community genre_000024 (theme) 精确名称。
Petite,approved,genre:petite,,localogue-community-data,Community genre_000193 (body) 精确名称。
Petite Bust,approved,genre:petite_bust,,localogue-community-data,Community genre_000185 (body) 精确名称。
Pickup,approved,genre:pickup,,localogue-community-data,Community genre_000052 (theme) 精确名称。
Pickup Production,approved,genre:pickup_production,,localogue-community-data,Community genre_000266 (practice) 精确名称。
Pink Film,approved,workType:pink_film,,localogue-community-data,Community genre_000276 (production) 精确名称。
Plus-size,approved,genre:plus_size,,localogue-community-data,Community genre_000191 (body) 精确名称。
Point of View,approved,genre:pov,,localogue-community-data,Community genre_000069 (theme) 精确名称。 Community/扩展词表名称；Localogue 保留既有 Canonical 显示词。
Police Officer,approved,genre:police_officer,,localogue-community-data,Community genre_000092 (role) 精确名称。
POV,approved,genre:pov,,legacy-localogue,V1-24 以前的 Localogue Canonical 显示词，保留为稳定别名。
POV Recording,approved,genre:pov_recording,,localogue-community-data,Community genre_000070 (theme) 精确名称。
POV Sex,approved,genre:pov_recording,,localogue-community-data,Community genre_000265 (practice) 精确名称。
POV Video,approved,workType:pov_video,,localogue-community-data,Community genre_000286 (production) 精确名称。
Prank,approved,genre:prank,,localogue-community-data,Community genre_000058 (theme) 精确名称。
Pregnant,approved,genre:pregnant,,localogue-community-data,Community genre_000198 (body) 精确名称。
Princess,approved,genre:princess,,localogue-community-data,Community genre_000122 (role) 精确名称。
Private Tutor,approved,genre:private_tutor,,localogue-community-data,Community genre_000082 (role) 精确名称。
Public Exposure,approved,genre:public_exposure,,localogue-community-data,Community genre_000056 (theme) 精确名称。
R-15,approved,sourceOnly:rating_r15,,localogue-community-data|localogue-vocabulary,Community genre_000322 (rating) 精确名称。
R-18,approved,sourceOnly:rating_r18,,localogue-community-data|localogue-vocabulary,Community genre_000321 (rating) 精确名称。
